SL No,Dispo_No,Dispo_Date,PO_No,Mkt_Ref_No,Style_No,color,Dispo Qty(Yds),PO_Qty,End_Buyer,garments_name,Process_Type,fabric_type,Weave_Type,composition,Total_Ends,Warp_Count,Weft Count,finish_type,construction,Dispo Grey Yarn Req (Warp),Dispo Grey Yarn Req (Weft),Dispo Dyed Yarn Req (Warp),Dispo Dyed Yarn Req (Weft),dispo_grey_qty,Req Grey Fabrics(YDS),Color Warp,Color Weft,Reed No,finish_width,Warp Length,Receive Warp Length,Remining Warp Length,Warp Plane,Acc.Holder,Total Grey Yarn Issued,S/W Total Yarn Issued Qty,Warp Yarn Consumption,Weft Yarn Consumption,DO No,DO Qty,Delivery Qty,Remarks,Short Excess Production,Print,Sample Qty.,Dispo Ref.,Type,Excess Dispo,Excess Qty,1st Gray Receive,Full Gray Receive,Hand Loom Delivery,Sample Delivery,PP Sample,Full Delivery,Test Sample,PP Sample,1st Delivery,2nd Delivery,3rd Delivery,Full Qty Delivery,Hanger,Dye Lot,ppsample,1st Delivery,2nd Delivery,Full Qty Delivery,3rd  Delivery,,,
685,108870,12 Aug 2023,230801791,P230303766,E31-A12-05-120,Green(23S-00901-A with comments-Need to reduce reddish ton and make it greenish as per approved swatch. ),933.00 ,933.00 ,Baby Shop,AMAN GRAPHICS AND DESIGNS LTD.,S/D,Approved Sample,Plain,100% BCI Cotton,"6,720.00 ",20,20,Peach(As Per Sample),118x58/20x20,0.00 ,0.00 ,0.00 ,0.00 ,"1,219.00 ","1,333.11 ",1,1,70/3,64,0.00 ,0.00 ,0.00 ,0.00 ,Md. Mahedi Hasan Munna,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,20 Aug 2023,,,,23 Aug 2023,,,,,,,,,,
686,108871,15 Oct 2023,230801799,P230712082,XBU Sateen,Teal Green,"2,591.86 ","23,000.00 ",M&S (Millennium),RENAISSANCE BARIND LTD.,S/D + All Over Print,AOP,4/1 Satin,100% BCI Cotton,"8,232.00 ",40,40,Soft,144x72/40x40,407.92 ,246.11 ,407.92 ,246.11 ,"3,000.00 ","3,280.83 ",1,1,112/2,73.5,"3,255.56 ",0.00 ,"3,255.56 ","3,250.00 ",Muzahid,654.03 ,0.00 ,407.92 ,246.11 ,,0,0.00 ,,0,Yes,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,,,,,,05 Sep 2023,,,,,,,,,,
687,108871,15 Oct 2023,230801799,P230712082,XBU Sateen,Teal Green,"23,000.00 ","23,000.00 ",M&S (Millennium),RENAISSANCE BARIND LTD.,S/D + All Over Print,AOP,4/1 Satin,100% BCI Cotton,"8,232.00 ",40,40,Soft,144x72/40x40,"3,474.75 ","2,139.71 ","3,474.75 ","2,139.71 ","26,622.00 ","29,114.09 ",1,1,112/2,73.5,"28,306.06 ",0.00 ,"28,306.06 ","1,130.00 ",Muzahid,"5,614.46 ",0.00 ,"3,474.75 ","2,140.44 ",,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,05 Sep 2023,,,,,,,,,,
688,108872,12 Aug 2023,230801786R-1,P230506293,,Navy 23S-02388-C,546.80 ,546.81 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x(16+70D),0.00 ,0.00 ,0.00 ,0.00 ,769.00 ,840.99 ,1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
689,108873,12 Aug 2023,230801786R-1,P230506294,,Sand 23S-02357-A,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x(16+70D),0.00 ,0.00 ,0.00 ,0.00 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
690,108874,12 Aug 2023,230801786R-1,P230506296,,Dark Grey 23S-02389-A,546.80 ,546.81 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x(16+70D),0.00 ,0.00 ,0.00 ,0.00 ,769.00 ,840.99 ,1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
691,108875,12 Aug 2023,230801786R-1,P230508033,,GOLD-23S-02050-A,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
692,108875,25 Sep 2023,230801786R-1,P230508033,,GOLD-23S-02050-A,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,273.18 ,164.70 ,273.18 ,164.70 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,"1,237.37 ",0.00 ,"1,237.37 ","1,230.00 ",Zulker Nayeen,437.88 ,0.00 ,273.18 ,164.70 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
693,108876,25 Sep 2023,230801786R-1,P230813411,,23S-03414-C,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x(16+70D),273.18 ,164.70 ,273.18 ,164.70 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,"1,237.37 ",0.00 ,"1,237.37 ","1,230.00 ",Zulker Nayeen,437.88 ,0.00 ,273.18 ,164.70 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
694,108877,12 Aug 2023,230801786R-1,P230508046,,RED 23S-02063-B,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
695,108878,12 Aug 2023,230801786R-1,P230508047,,CREAM 23S-02064-B,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
696,108879,12 Aug 2023,230801786R-1,P230508049,,ROYAL BLUE 23S-02066-B,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
697,108880,12 Aug 2023,230801786R-1,P230508051,,TURQUOISE 23S-02068-C,699.91 ,699.91 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,0.00 ,0.00 ,0.00 ,0.00 ,Zulker Nayeen,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
698,108881,12 Aug 2023,230801786R-1,P230508054,,BLACK 23S-02071-A,546.80 ,546.81 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,Soft,128x50/20x16+70D,219.24 ,131.30 ,219.24 ,131.30 ,769.00 ,840.99 ,1,1,94/2,75.53,"1,003.86 ",0.00 ,"1,003.86 ","1,000.00 ",Zulker Nayeen,350.54 ,0.00 ,219.24 ,131.30 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
699,108882,30 Aug 2023,230801775,P230202532,5HHLSQ031  HHL,101,"1,780.00 ","1,780.00 ",Benetton,THE ROSE DRESSES LTD,S/D,Approved Handloom,Plain,100% Organic Cotton,"3,915.00 ",21(20),21(20),Soft,68x52/21x21,270.19 ,208.79 ,270.19 ,208.79 ,"1,893.00 ","2,070.20 ",1,1,58/2,67.5,"2,243.02 ",0.00 ,"2,243.02 ","2,240.00 ",Nazrul Islam,478.98 ,0.00 ,270.19 ,208.79 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,08 Sep 2023,08 Sep 2023,,,,08 Sep 2023,,,,,,,,,,
700,108883,11 Oct 2023,230801806R-1,P230405208,1444J,Dark Turquoise,"18,231.00 ","18,231.00 ",M&S (Sublime),Sublime Greentex Ltd,S/D + All Over Print,Printed,"2/2 ""Z"" Twill",100% BCI Cotton,"7,104.00 ",40,40,Both Side Brush,120x80/40x40,"2,490.70 ","1,956.86 ","2,490.70 ","1,956.86 ","21,102.00 ","23,077.36 ",1,1,96/2,74,"23,630.32 ",0.00 ,"23,630.32 ","23,432.00 ",Muzahid,"4,447.56 ",0.00 ,"2,489.00 ","1,956.86 ",,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,01 Sep 2023,01 Sep 2023,,,,15 Sep 2023,,,,,,,,,,
701,108884,14 Aug 2023,230801783,P230304342,5TFBGQ01Q & 5TFBCQ02P TFB,63F,"4,640.00 ","4,640.00 ",Benetton,THE ROSE DRESSES LTD,S/D + All Over Print,Approved Handloom,Plain,100% Cotton,"8,208.00 ",50,50,Soft,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,"5,112.00 ","5,590.53 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Nazrul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,04 Sep 2023,,,,,,,,,,
702,108885,13 Aug 2023,230801783,P230304343,5TFBGQ01Q & 5TFBCQ02P TFB,63G,"1,600.00 ","1,600.00 ",Benetton,THE ROSE DRESSES LTD,S/D + All Over Print,Approved Handloom,Plain,100% Cotton,"8,208.00 ",50,50,Soft,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,"2,032.00 ","2,222.22 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Nazrul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,04 Sep 2023,,,,,,,,,,
703,108886,14 Sep 2023,230801784,P211114057,5DGXCQ00T,915 White,"5,434.31 ","4,940.00 ",Benetton,THE ROSE DRESSES LTD,WHITE,Approved Handloom,Dobby,100% BCI Cotton,"8,316.00 ",50,50,Soft,144X110/50X50,647.79 ,506.54 ,647.79 ,506.54 ,"5,647.00 ","6,175.62 ",1,1,126/2,66,"6,397.14 ",0.00 ,"6,397.14 ","6,397.00 ",Nazrul Islam,"1,154.33 ",0.00 ,647.79 ,258.32 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,09 Sep 2023,,,,,,,,,,
704,108887,15 Aug 2023,230801784,P220100257,54AZCQ00R & 54AZGQ00J,101,"11,246.00 ","11,246.00 ",Benetton,THE ROSE DRESSES LTD,WHITE,White,Plain,100% Cotton,"8,208.00 ",50,50,Soft,144X80/50X50,0.00 ,0.00 ,0.00 ,0.00 ,"11,426.00 ","12,495.59 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Nazrul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,09 Sep 2023,,,,,,,,,,
705,108888,15 Aug 2023,230801784,P230304367,54AZCQ00R,81,"2,850.00 ","2,850.00 ",Benetton,THE ROSE DRESSES LTD,S/D,Solid,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144x80x50x50,0.00 ,0.00 ,0.00 ,0.00 ,"3,178.00 ","3,475.49 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Nazrul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,09 Sep 2023,,,,,,,,,,
706,108889,13 Aug 2023,230801789,P220100767,241SHIROSE-90– SS24.,WHITE -,"1,950.01 ","1,950.00 ",OVS,NEW GENERATION FASHION LTD,S/D,White,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144X80/50X50,0.00 ,0.00 ,0.00 ,0.00 ,"2,073.00 ","2,267.05 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,sharmin akter2,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,14 Sep 2023,,,,,,,,,,
707,108891,03 Sep 2023,230801797R-1,P230507399,Style - 2213019,Natural white AOP,"9,100.01 ","9,100.00 ",C&A,NEWAGE GARMENTS  LTD.,As per approved sample,Solid,"3/1 ""Z"" Twill",100% BCI Cotton,"7,524.00 ",50,50,Soft,130x90/50x50,951.34 ,705.58 ,951.34 ,705.58 ,"9,564.00 ","10,459.29 ",1,1,110/2,68.4,"10,277.72 ",0.00 ,"10,277.72 ",0.00 ,A HASAN,"1,656.92 ",0.00 ,920.83 ,739.45 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,04 Sep 2023,,,,,,,,,,
708,108891,18 Nov 2023,230801797R-1,P230507399,Style - 2213019,Natural white AOP,550.09 ,"9,100.00 ",C&A,NEWAGE GARMENTS  LTD.,As per approved sample,Solid,"3/1 ""Z"" Twill",100% BCI Cotton,"7,524.00 ",50,50,Soft,130x90/50x50,77.60 ,52.01 ,77.60 ,52.01 ,629.00 ,687.88 ,1,1,110/2,68.4,785.54 ,0.00 ,785.54 ,780.00 ,A HASAN,129.61 ,0.00 ,77.60 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,30 Aug 2023,30 Aug 2023,,,,04 Sep 2023,,,,,,,,,,
709,108893,14 Aug 2023,230801807,P230610506,GRS40465LD,Slate Rose,"2,370.00 ","2,370.00 ",Walmart,ISLAM GARMENTS LTD.,S/D + All Over Print,Printed,"2/2 ""S"" Twill",100% BCI Cotton,"7,320.00 ",40,40,Soft,120x70/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"2,890.00 ","3,160.53 ",1,1,90/2,81.33,0.00 ,0.00 ,0.00 ,0.00 ,Syed Hashmi,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,06 Sep 2023,,,,,,,,,,
710,108894,13 Aug 2023,230801807,P230711340,GRS40465LD,BLUE QUARTZ,"2,370.00 ","2,370.00 ",Walmart,ISLAM GARMENTS LTD.,S/D + All Over Print,Printed,"2/2 ""S"" Twill",100% BCI Cotton,"7,320.00 ",40,40,Soft,120x70/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"2,709.00 ","2,962.59 ",1,1,90/2,81.33,0.00 ,0.00 ,0.00 ,0.00 ,Syed Hashmi,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,06 Sep 2023,,,,,,,,,,
711,108895,19 Aug 2023,230801812R-1,P211215345,,30843,"2,628.00 ","2,628.00 ",Tom Tailor,GLOBUS GARMENTS LTD.,S/D + All Over Print,Printed,Oxford,100% BCI Cotton,"8,260.00 ",40//,50,Soft,140x74(70)/40//x50,483.35 ,216.00 ,483.35 ,216.00 ,"3,433.00 ","3,754.36 ",1,1,116/2,71.21,"3,844.62 ",0.00 ,"3,844.62 ","3,840.00 ",Shaidul,699.35 ,0.00 ,483.35 ,173.68 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,06 Sep 2023,06 Sep 2023,,,,11 Sep 2023,,,,,,,,,,
712,108896,14 Aug 2023,230801813,P230202112,KDM813/8641W,MC2,"1,830.00 ","1,830.00 ",LPP,Integra Apparels Ltd,S/D + All Over Print,Approved Handloom,Plain,100% Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"2,231.00 ","2,439.84 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,A HASAN,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,24 Aug 2023,24 Aug 2023,,,,27 Aug 2023,,,,,,,,,,
713,108897,14 Aug 2023,230801813,P230303459,KDM1112/7091X,MC1,"1,660.00 ","1,660.00 ",LPP,Integra Apparels Ltd,S/D + All Over Print,Approved Handloom,Plain,100% Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"1,946.00 ","2,128.17 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,A HASAN,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,24 Aug 2023,24 Aug 2023,,,,27 Aug 2023,,,,,,,,,,
714,108898,14 Aug 2023,230801813,P230303493,KDM813 / 8641W,MC3,"1,830.00 ","1,830.00 ",LPP,Integra Apparels Ltd,S/D + All Over Print,Printed,Plain,100% Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"2,092.00 ","2,287.83 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,A HASAN,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,24 Aug 2023,24 Aug 2023,,,,27 Aug 2023,,,,,,,,,,
715,108899,14 Aug 2023,230801813,P230405901,KDM1112 / 7091X,MC3,"1,660.00 ","1,660.00 ",LPP,Integra Apparels Ltd,S/D + All Over Print,Approved Handloom,Plain,100% Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"2,024.00 ","2,213.47 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,A HASAN,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,24 Aug 2023,24 Aug 2023,,,,27 Aug 2023,,,,,,,,,,
716,108900,14 Aug 2023,230801813,P230507544,KDM1112/7091X,MC2 / Ver: 1,"2,490.00 ","2,490.00 ",LPP,Integra Apparels Ltd,S/D + All Over Print,Approved Handloom,Plain,100% Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"3,036.00 ","3,320.20 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,A HASAN,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,24 Aug 2023,24 Aug 2023,,,,27 Aug 2023,,,,,,,,,,
717,108901,13 Aug 2023,230801790R-1,P230508106,274N076B,69 Navy,"5,468.07 ","5,468.07 ",UNIQLO,Brandix Apparel Ltd.,All Over Print,Approved Sample,Plain,100% Eco Vero Viscose,"4,386.00 ",30 Viscose,30 Viscose,Soft,80x68/30x30,0.00 ,0.00 ,0.00 ,0.00 ,"6,667.00 ","7,291.10 ",1,1,64/2,68.53,0.00 ,0.00 ,0.00 ,0.00 ,Md. Akib Zawad,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
718,108902,14 Aug 2023,230801817,P230711372,LFS641,99,"2,362.21 ","2,362.20 ",AG DRESSES LTD.,Ostin,solid,Solid,Plain,100% Cotton,"8,208.00 ",50,50,Soft,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,"2,700.00 ","2,952.75 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Nazrul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,28 Aug 2023,28 Aug 2023,,,,07 Sep 2023,,,,,,,,,,
719,108903,15 Aug 2023,230801816,P211012732,"CAWSC013,2SV7185",003 JET BLACK,"3,521.00 ","3,521.00 ",PERRY ELLIS,CONCORDE GARMENTS LTD.,S/D,Solid Look,Plain,55% Linen + 45% Cotton,"3,750.00 ",21 L/C,21L/C,Soft,60x50/21LCx21LC,467.23 ,442.60 ,467.23 ,442.60 ,"3,833.00 ","4,191.81 ",1,1,50/2,75,"4,297.90 ",0.00 ,"4,297.90 ","4,290.00 ",Jahirul,909.83 ,0.00 ,467.23 ,442.60 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,05 Sep 2023,,,,13 Sep 2023,,,,,,,,,,
720,108904,19 Aug 2023,230801825R-1,P230202329,"21006(Style- 460005, 460007, 480003)",3322,"7,655.29 ","7,655.29 ",Gerry Weber International AG,NEO FASHION LTD.,AOP,AOP,Plain,100% Lenzing (Ecovera),"5,565.00 ",40Ecovera,40Ecovera,Soft,104x76/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"9,459.00 ","10,344.46 ",1,1,84/2,66.25,0.00 ,0.00 ,0.00 ,0.00 ,Md. Ziaul Hashan,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,26 Aug 2023,,,,05 Sep 2023,,,,,,,,,,
721,108905,23 Aug 2023,230801825R-1,P230303357,29146 (Style- 960985),8102,"3,313.65 ","3,313.65 ",Gerry Weber International AG,NEO FASHION LTD.,AOP,AOP,Plain,100% Lenzing (Ecovera),"5,565.00 ",40Eco vera,40Eco vera,Soft,104x76/40x40,372.51 ,320.03 ,372.51 ,320.03 ,"4,095.00 ","4,478.33 ",1,1,84/2,66.25,"4,352.26 ",0.00 ,"4,352.26 ","4,350.00 ",Md. Ziaul Hashan,692.54 ,0.00 ,372.51 ,320.03 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,26 Aug 2023,,,,05 Sep 2023,,,,,,,,,,
722,108906,15 Aug 2023,230501123R-1,P220202066,,Will Share Soon,"51,828.37 ","437,445.32 ",THE BLUE FALCON,THE BLUE FALCON,S/D + All Over Print,Printed,Dobby as 607576,50% Polyester 50% Cotton,"6,960.00 ",45/2tc,45/2tc,RFD (Soft),120x65/45TC/2x45TC/2,"11,745.77 ","6,078.02 ","11,745.77 ","6,078.02 ","55,107.00 ","60,265.57 ",1,1,55/4,63.27,"63,981.16 ",0.00 ,"63,981.16 ",0.00 ,Md. Jubaidur Rahman,"17,823.79 ",0.00 ,"11,745.77 ","6,078.02 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,15 Aug 2023,,,,,,,,,,,,,
723,108907,15 Aug 2023,230501123R-1,P220202066,,Will Share Soon,"70,732.51 ","437,445.32 ",THE BLUE FALCON,THE BLUE FALCON,S/D + All Over Print,Printed,Dobby as 607576,50% Polyester 50% Cotton,"6,960.00 ",45/2tc,45/2tc,RFD (Soft),120x65/45TC/2x45TC/2,"16,029.77 ","8,294.92 ","16,029.77 ","8,294.92 ","75,207.00 ","82,247.13 ",1,1,55/4,63.27,"87,317.98 ",0.00 ,"87,317.98 ",0.00 ,Md. Jubaidur Rahman,"24,324.69 ",0.00 ,"16,030.08 ","8,294.92 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,15 Aug 2023,,,,,,,,,,,,,
724,108908,16 Aug 2023,230801829,P220607599,10243670,199,"4,320.00 ","4,320.00 ",HUGO BOSS,Ecofab Ltd.,S/D,Solid,Plain,66% Organic Cotton 32% BCI Cotton 2% Spandex,"7,008.00 ",40,40+40D,Face Side Peach,132x68/40x(40+40D),551.06 ,365.03 ,551.06 ,365.03 ,"4,703.00 ","5,143.25 ",1,1,96/2,73,"5,219.93 ",0.00 ,"5,219.93 ","5,200.00 ",Muzahid,916.09 ,0.00 ,551.06 ,365.03 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,04 Sep 2023,,,,,16 Sep 2023,,,,,,,,,,
725,108909,16 Aug 2023,230801830,P230303175,10257873,405,"1,537.44 ","1,100.00 ",HUGO BOSS,Ecofab Ltd.,Digital Print,Printed,Plain,100% BCI Cotton,"8,555.00 ",80,80,Soft,150x130/80x80,161.32 ,155.20 ,161.32 ,155.20 ,"2,008.00 ","2,195.97 ",1,1,118/2,72.5,"2,426.17 ",0.00 ,"2,426.17 ","2,420.00 ",Muzahid,316.52 ,0.00 ,161.32 ,155.20 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,02 Sep 2023,02 Sep 2023,,,,16 Sep 2023,,,,,,,,,,
